food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,Total_Nutrition,Nutrition_Density,Protein_Ratio,Carbohydrate_Ratio,Fat_Ratio,Micronutrient_Sum,Nutrient_to_Calorie,Fiber_to_Sugar_Ratio,Saturated_Fat_Ratio
anejo cheese,492,39.6,25.1,11.3,1.2,6.1,6.1,28.3,0.0,138.6,1.5,50.2,0.098,0.069,0.081,0.077,0.3,0.088,0.3,0.011,0.0,0.032,0.3,0.078,897.6,0.058,0.6,37.0,0.067,586.1,114.8,0.095,3.9,972.205,223.832,0.4549430894308943,0.23008130081300815,0.04959349593495935,0.7243902439024391,151.832,0.3086016260162601,0.0,0.6338383838383839
cheese spread,708,68.6,43.2,19.4,2.5,8.4,8.4,17.0,0.0,216.0,1.2,140.4,0.7,0.071,0.027,0.011,0.5,2.3,0.0,0.051,0.0,0.091,1.8,0.098,170.4,0.02,2.7,14.4,0.0,218.4,268.8,0.065,1.2,267.8,373.791,0.5279533898305084,0.096045197740113,0.04745762711864407,0.8720338983050847,283.291,0.4001285310734463,0.0,0.6297376093294461
corned beef hash with potatoes,387,24.2,10.2,12.4,0.7,21.9,0.8,20.6,2.6,75.5,1.0,166.0,0.0,0.2,0.013,0.062,0.1,3.7,1.0,0.5,2.1,0.0,0.057,0.017,44.8,0.0,2.4,30.7,0.2,132.2,405.9,0.034,3.3,118.6,505.0,1.3049095607235142,0.2129198966408269,0.22635658914728682,0.5627906976744186,436.59999999999997,1.1281653746770024,3.25,0.4214876033057851
biscuit with egg cheese bacon,436,25.3,8.5,11.7,2.8,35.4,2.5,17.4,0.3,240.7,1.2,62.3,0.1,0.4,0.097,0.067,0.4,3.4,1.1,0.2,0.0,0.095,1.5,0.098,149.4,0.4,2.3,21.8,0.2,526.4,190.0,0.087,1.6,230.2,287.995,0.6605389908256881,0.15963302752293576,0.3247706422018348,0.5222477064220183,211.895,0.4859977064220184,0.12,0.3359683794466403
bagel with ham egg cheese,483,18.5,7.9,5.7,3.3,52.4,7.0,26.7,0.4,242.6,1.3,88.7,0.2,0.7,0.1,0.048,0.6,6.0,1.4,0.1,0.0,0.001,1.2,0.018,185.3,0.4,4.1,40.1,0.4,397.3,261.7,0.098,2.4,287.6,398.201,0.824432712215321,0.22111801242236023,0.43395445134575567,0.3447204968944099,301.801,0.6248467908902692,0.05714285714285715,0.42702702702702705
quesadilla with chicken,529,27.5,11.1,6.8,7.4,43.3,3.4,27.1,3.1,66.6,1.3,76.7,0.1,0.4,0.073,0.012,0.3,7.6,0.0,0.1,0.2,0.1,0.5,0.03,484.2,0.1,3.2,45.0,0.5,563.4,329.4,0.025,2.6,588.7,473.29999999999995,0.8947069943289224,0.20491493383742912,0.3274102079395085,0.4678638941398866,374.5,0.7079395085066162,0.911764705882353,0.4036363636363636
kung pao chicken,779,42.2,8.2,13.1,18.2,41.5,18.3,59.0,9.1,157.0,2.4,451.7,0.0,0.2,0.0,0.034,0.3,16.7,3.0,1.5,42.9,0.0,6.2,0.012,120.8,0.4,4.6,145.0,1.5,567.8,1316.7,0.097,4.5,320.1,1610.8000000000002,2.067779204107831,0.3029525032092426,0.21309370988446727,0.48754813863928115,1461.7,1.8763799743260592,0.49726775956284147,0.19431279620853079
enchilada with cheese,374,25.3,11.5,6.4,3.8,21.2,3.6,15.4,2.6,57.5,0.7,71.8,0.7,0.3,0.081,0.073,0.036,0.3,0.9,1.3,0.2,0.8,0.0,1.8,0.0,430.2,0.2,0.9,39.7,0.2,367.2,191.8,0.03,65.6,429.79999999999995,1.1491978609625668,0.16470588235294117,0.22673796791443848,0.6088235294117648,368.9,0.9863636363636363,0.7222222222222222,0.45454545454545453
lemon chicken,1440,74.9,12.2,16.4,36.7,122.0,55.2,68.6,7.0,203.8,1.5,363.6,0.099,0.3,0.069,0.028,0.4,23.3,3.1,1.5,15.9,0.045,8.1,0.2,248.4,0.2,8.4,95.6,0.6,821.7,987.4,0.001,3.2,545.212,1345.945,0.9346840277777777,0.19055555555555553,0.3388888888888889,0.468125,1083.045,0.7521145833333334,0.12681159420289853,0.16288384512683576
hummus,435,21.1,2.8,12.0,5.2,49.5,0.7,12.0,9.8,0.0,0.6,159.6,0.0,0.2,0.1,0.0,0.1,1.0,0.7,1.0,19.4,0.0,1.8,0.059,120.5,0.6,3.8,71.3,1.4,270.6,425.6,0.038,2.7,236.1,588.2,1.3521839080459772,0.1103448275862069,0.45517241379310347,0.43655172413793103,496.90000000000003,1.1422988505747127,14.000000000000002,0.13270142180094785
english muffin with egg cheese sausage,472,29.9,11.4,11.2,4.6,28.8,2.5,22.1,0.3,269.0,0.8,80.6,0.1,0.6,0.001,0.093,0.4,5.3,1.8,0.1,0.0,0.063,1.6,0.051,277.2,0.3,4.3,28.1,0.3,297.0,242.6,0.064,1.7,362.7,349.163,0.7397521186440679,0.18728813559322036,0.2440677966101695,0.5701271186440677,270.763,0.5736504237288135,0.12,0.38127090301003347
english muffin with cheese sausage,365,22.3,8.8,8.5,3.4,27.3,2.1,14.3,0.5,46.4,0.7,41.0,0.074,0.5,0.046,0.042,0.2,4.6,0.8,0.096,0.0,0.085,0.6,0.01,226.8,0.3,3.4,22.7,0.3,181.4,193.3,0.036,1.3,294.696,278.885,0.7640684931506849,0.1567123287671233,0.2991780821917808,0.5498630136986302,216.085,0.592013698630137,0.23809523809523808,0.3946188340807175
biscuit with egg,436,25.3,8.5,11.7,2.8,35.4,2.5,17.4,0.3,240.7,1.2,62.3,0.1,0.4,0.1,0.002,0.4,3.4,0.9,0.2,0.1,0.027,1.5,0.037,149.4,0.077,2.3,21.8,0.3,526.4,190.0,0.007,1.6,230.3,287.927,0.6603830275229359,0.15963302752293576,0.3247706422018348,0.5222477064220183,211.827,0.48584174311926603,0.12,0.3359683794466403
burrito with beans beef,460,18.0,7.0,7.8,1.4,47.0,5.3,27.8,7.2,62.7,1.4,144.6,0.096,0.4,0.2,0.088,0.3,5.3,0.8,0.5,4.6,0.059,1.1,0.022,216.9,0.3,4.6,60.3,0.6,392.8,648.3,0.031,4.8,326.183,806.8589999999999,1.754041304347826,0.24173913043478262,0.40869565217391307,0.3521739130434783,708.659,1.540563043478261,1.358490566037736,0.3888888888888889
biscuit with sausage,412,27.1,8.2,13.5,3.4,33.3,1.8,10.7,0.4,31.1,0.9,36.4,0.0,0.4,0.078,0.012,0.2,3.8,0.5,0.031,0.0,0.044,0.9,0.035,52.2,0.3,2.1,14.4,0.2,378.5,169.8,0.012,0.8,125.8,253.74400000000003,0.6158834951456311,0.10388349514563106,0.3233009708737864,0.591990291262136,184.244,0.44719417475728157,0.22222222222222224,0.30258302583025826
vegetarian stew,304,7.4,1.2,1.8,3.8,17.3,3.1,42.0,2.7,0.0,1.0,172.9,0.0,1.7,0.3,0.093,1.5,29.6,0.0,2.7,0.0,0.0,1.2,0.041,76.6,1.6,3.2,313.7,0.0,543.4,296.4,0.05,2.7,149.2,678.9,2.233223684210526,0.5526315789473685,0.22763157894736843,0.21907894736842107,610.0999999999999,2.006907894736842,0.8709677419354839,0.16216216216216214
biscuit with egg ham,442,27.0,5.9,11.0,7.7,31.4,4.2,20.4,0.8,299.5,1.4,108.7,0.1,0.7,0.058,0.062,0.6,2.0,1.7,0.3,0.0,0.093,2.1,0.057,220.8,0.1,4.6,30.7,0.3,316.8,318.7,0.005,2.2,305.1,426.693,0.9653687782805429,0.1846153846153846,0.2841628959276018,0.5497737556561086,349.493,0.7907081447963801,0.19047619047619047,0.21851851851851853
biscuit with egg bacon,458,31.1,8.0,13.4,7.5,28.6,3.3,17.0,0.8,352.5,1.3,70.0,0.082,0.1,0.038,0.04,0.2,2.4,1.2,0.1,2.7,0.066,2.0,0.098,189.0,0.1,3.7,24.0,0.3,238.5,250.5,0.059,1.6,272.958,349.866,0.7638995633187773,0.14847161572052403,0.2497816593886463,0.6111353711790394,274.566,0.5994890829694323,0.24242424242424246,0.2572347266881029
chicken sandwich,468,20.9,4.0,8.4,5.9,39.1,6.8,30.4,2.6,65.5,1.4,91.5,0.077,0.03,0.4,0.1,0.053,0.6,14.4,0.6,0.7,1.5,0.031,4.5,0.012,108.5,0.2,3.3,44.9,0.5,346.0,458.2,0.064,94.051,441.2,0.9427350427350427,0.2598290598290598,0.3341880341880342,0.40192307692307694,350.8,0.7495726495726496,0.3823529411764706,0.19138755980861244
pulled pork in barbecue sauce,418,11.0,3.5,4.5,1.9,46.7,37.8,32.8,3.0,87.2,1.7,151.9,0.0,0.4,0.042,0.067,0.3,7.5,2.0,0.6,0.5,0.064,2.2,0.099,109.6,0.2,3.1,54.8,0.2,400.9,759.5,0.049,4.6,206.7,906.764,2.169291866028708,0.31387559808612436,0.44688995215311006,0.23684210526315788,814.364,1.9482392344497608,0.07936507936507937,0.3181818181818182
hushpuppies,512,20.5,3.2,5.0,11.0,69.9,3.1,11.7,4.3,68.4,1.0,44.1,0.074,0.5,0.1,0.008,0.5,4.2,0.5,0.2,0.3,0.0,1.9,0.01,422.6,0.1,4.6,36.5,0.3,287.3,218.9,0.078,1.0,533.994,360.5,0.7041015625,0.09140625,0.54609375,0.3603515625,255.4,0.498828125,1.3870967741935483,0.15609756097560976
chicken pot pie,598,34.6,12.6,11.9,8.3,57.3,7.2,14.6,3.0,51.3,1.2,191.6,0.0,0.2,0.1,0.024,0.03,4.5,1.1,0.2,3.0,0.024,1.1,0.034,63.4,0.1,1.8,33.2,0.6,226.5,317.1,0.003,1.3,177.7,458.024,0.7659264214046823,0.09765886287625418,0.3832775919732441,0.5207357859531773,350.324,0.5858260869565217,0.41666666666666663,0.36416184971098264
general tsos chicken,1578,87.5,14.8,20.8,40.1,128.3,62.1,69.0,4.8,283.6,2.3,241.6,0.081,0.1,0.049,0.08,0.6,15.3,3.3,1.1,8.6,0.015,6.5,0.2,64.2,0.2,6.2,96.3,0.4,679.5,1075.4,0.065,7.0,368.673,1449.515,0.9185773130544994,0.17490494296577946,0.3252217997465146,0.4990494296577947,1171.7150000000001,0.7425316856780736,0.07729468599033816,0.16914285714285715
biscuit with egg sausage,505,33.6,10.4,16.2,4.8,34.1,1.5,18.0,0.3,260.8,1.1,72.1,0.071,0.5,0.035,0.083,0.4,4.0,1.5,0.1,0.0,0.047,1.5,0.042,82.6,0.4,3.1,21.1,0.2,505.4,241.4,0.002,1.5,171.757,346.347,0.6858356435643564,0.14257425742574256,0.2700990099009901,0.5988118811881189,262.547,0.5198950495049506,0.19999999999999998,0.30952380952380953
chicken chow mein,513,16.9,3.0,3.7,7.4,50.1,10.5,40.8,6.0,96.6,1.9,489.3,0.093,0.2,0.0,0.092,0.1,8.9,1.6,1.1,12.1,0.0,2.6,0.1,126.8,0.2,4.0,66.4,0.6,326.2,749.0,0.086,1.9,256.797,926.4000000000001,1.8058479532163745,0.3181286549707602,0.3906432748538012,0.2964912280701754,815.4,1.5894736842105264,0.5714285714285714,0.1775147928994083
sausage mcmuffin mcdonalds,383,24.2,8.3,8.9,3.7,28.2,2.2,14.6,1.6,44.9,0.8,44.8,0.0,0.4,0.008,0.03,0.3,4.8,0.6,0.2,0.0,0.0,0.3,0.0,257.6,0.1,2.3,24.2,0.3,187.5,216.2,0.0,1.5,328.5,305.7,0.7981723237597911,0.1524804177545692,0.2945169712793734,0.5686684073107049,240.39999999999998,0.6276762402088772,0.7272727272727273,0.34297520661157027
sausage mcgriddles mcdonalds,421,24.0,7.3,10.2,3.5,42.2,15.2,11.4,1.4,32.4,1.0,54.1,0.0,0.3,0.037,0.038,0.2,4.2,0.5,0.1,0.0,0.0,0.0,0.0,85.1,0.1,1.9,18.9,0.3,426.6,195.8,0.0,1.0,166.0,290.70000000000005,0.6904988123515441,0.10831353919239906,0.40095011876484565,0.5130641330166271,214.70000000000002,0.5099762470308788,0.09210526315789473,0.30416666666666664
sausage biscuit mcdonalds,440,29.7,12.5,10.3,4.0,31.8,2.3,11.3,1.4,33.9,1.0,40.6,0.049,0.5,0.1,0.029,0.3,5.0,0.6,0.1,0.0,0.0,0.9,0.0,64.4,0.031,2.4,15.2,0.2,377.9,207.1,0.0,1.0,141.05,293.6,0.6672727272727274,0.10272727272727274,0.2890909090909091,0.6075,222.29999999999998,0.5052272727272726,0.6086956521739131,0.4208754208754209
hotcakes sausage mcdonalds,776,34.9,7.3,9.0,6.5,102.4,45.7,15.5,2.1,50.2,0.9,107.4,0.0,0.6,0.1,0.004,0.5,5.2,1.4,0.2,0.0,0.0,0.0,0.0,134.6,0.2,3.2,37.0,0.4,451.4,390.7,0.0,1.3,292.7,570.5,0.7351804123711341,0.07989690721649484,0.5278350515463918,0.40476804123711335,427.7,0.551159793814433,0.045951859956236324,0.20916905444126074
premium crispy chicken ranch blt sandwich mcdonalds,586,22.9,4.7,9.1,7.8,59.8,13.3,35.3,3.4,72.0,1.2,116.7,0.0,0.5,0.0,0.0,0.4,12.6,2.3,0.0,10.3,0.0,0.0,0.0,84.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,219.1,120.1,0.20494880546075084,0.2409556313993174,0.4081911262798635,0.35170648464163823,0.0,0.0,0.2556390977443609,0.2052401746724891
cheeseburger burger king,380,19.7,9.1,7.6,2.0,31.5,6.0,19.4,3.7,59.9,0.8,59.3,0.0,0.4,0.0,0.0,0.3,4.5,0.3,0.1,0.3,0.0,0.1,0.093,123.7,0.1,3.3,31.9,0.4,190.2,236.7,0.028,3.2,201.6,341.9,0.8997368421052631,0.20421052631578945,0.33157894736842103,0.466578947368421,268.59999999999997,0.7068421052631578,0.6166666666666667,0.4619289340101523
double cheeseburger,643,36.9,15.9,13.7,3.0,41.0,9.5,37.0,2.1,114.0,0.9,107.5,1.6,0.1,0.5,0.1,0.062,0.5,7.9,0.6,0.5,6.6,0.033,0.8,0.054,342.0,0.2,5.4,47.9,0.3,376.2,515.3,0.017,119.347,500.9,0.77900466562986,0.2301710730948678,0.25505443234836706,0.5164852255054432,388.2,0.6037325038880249,0.2210526315789474,0.43089430894308944
double hamburger,942,58.6,21.6,22.9,11.3,51.4,13.2,52.1,5.2,172.0,1.1,206.8,1.5,0.0,0.7,0.2,0.036,0.7,12.1,0.7,0.4,0.7,0.059,2.5,0.094,130.9,0.4,10.5,67.3,0.7,415.1,718.1,0.026,169.626,590.8000000000001,0.6271762208067941,0.22123142250530786,0.21825902335456476,0.5598726114649681,426.3,0.45254777070063695,0.393939393939394,0.36860068259385664
big n tasty with cheese mcdonalds,573,36.0,10.8,10.7,7.1,39.7,9.5,27.2,3.2,91.4,1.0,140.1,0.0,0.3,0.1,0.07,0.7,7.8,0.0,0.0,4.4,0.0,0.0,0.0,224.8,0.2,4.4,44.5,0.4,281.6,491.5,0.0,5.1,339.7,634.7,1.1076788830715534,0.1898778359511344,0.27713787085514835,0.5654450261780105,536.0,0.9354275741710296,0.3368421052631579,0.30000000000000004
premium grilled chicken club sandwich mcdonalds,493,18.0,6.4,5.6,4.8,44.3,6.4,38.3,2.7,102.6,1.0,117.1,0.0,0.4,0.0,0.0,0.4,12.4,1.8,0.0,9.8,0.0,0.0,0.0,211.9,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,328.1,102.1,0.2070993914807302,0.31075050709939145,0.35943204868154155,0.3286004056795132,0.0,0.0,0.421875,0.35555555555555557
quarter pounder mcdonalds,417,19.8,6.9,7.2,0.5,37.9,8.8,24.1,2.7,66.7,0.7,86.1,0.0,0.3,0.052,0.029,0.6,7.6,0.0,0.0,1.5,0.0,0.0,0.0,143.6,0.2,4.1,37.6,0.3,212.0,388.2,0.0,4.6,233.7,505.1,1.2112709832134294,0.23117505995203838,0.3635491606714628,0.42733812949640293,425.8,1.0211031175059953,0.3068181818181818,0.3484848484848485
premium crispy chicken classic sandwich mcdonalds,524,20.0,3.2,7.3,8.5,58.6,12.4,27.8,3.2,59.8,1.0,119.6,0.0,0.5,0.1,0.0,0.4,12.7,2.4,0.0,5.8,0.0,0.0,0.0,78.2,0.2,3.3,62.1,1.0,370.3,522.1,0.0,1.5,196.9,692.8000000000001,1.3221374045801528,0.21221374045801528,0.44732824427480916,0.3435114503816794,584.2,1.1148854961832062,0.25806451612903225,0.16
quarter pounder with cheese mcdonalds,513,28.3,11.2,9.2,0.9,39.7,9.8,29.0,2.8,93.5,1.2,97.3,0.0,0.3,0.1,0.068,0.7,7.7,0.0,0.0,1.6,0.0,0.0,0.0,286.6,0.2,4.2,43.8,0.3,320.4,435.8,0.0,5.2,392.2,572.4000000000001,1.1157894736842107,0.22612085769980506,0.309551656920078,0.4964912280701755,479.6,0.9348927875243666,0.2857142857142857,0.3957597173144876
double whopper with cheese burger king,1061,68.1,27.9,25.1,11.9,53.9,14.4,57.7,6.4,187.5,1.5,212.6,0.0,1.1,0.1,0.0,0.8,12.0,0.8,0.4,0.8,0.0,0.2,0.082,311.2,0.3,21.1,75.8,0.6,510.7,754.1,0.075,14.0,519.2,1012.8,0.9545711592836946,0.21753063147973611,0.20320452403393024,0.5776625824693685,829.9,0.782186616399623,0.4444444444444445,0.40969162995594716
big mac mcdonalds,563,32.8,8.3,7.6,0.7,44.0,8.7,25.9,3.5,78.8,1.0,112.3,0.0,0.4,0.1,0.048,0.5,7.4,0.0,0.0,0.9,0.0,0.0,0.0,254.0,0.2,4.4,43.8,0.5,267.2,396.4,0.0,4.2,365.5,530.2,0.9417406749555951,0.18401420959147424,0.31261101243339257,0.5243339253996447,440.2,0.7818827708703374,0.40229885057471265,0.25304878048780494
sandwich with cold cuts,833,39.3,13.9,14.5,7.5,79.9,12.4,41.1,4.7,105.6,2.2,221.0,0.5,0.004,1.3,0.4,0.051,1.0,16.9,1.5,0.8,29.3,0.012,1.6,0.023,668.6,0.5,7.1,78.2,0.9,437.9,1102.6,0.065,166.871,635.9,0.7633853541416566,0.19735894357743097,0.38367346938775515,0.424609843937575,474.29999999999995,0.5693877551020408,0.3790322580645161,0.3536895674300255
big n tasty mcdonalds,524,31.7,8.6,9.7,6.9,38.5,8.8,24.7,3.2,76.6,0.7,133.9,0.0,0.3,0.1,0.017,0.6,7.7,0.0,0.0,4.4,0.0,0.0,0.0,150.8,0.2,4.4,41.8,0.4,227.4,464.0,0.0,4.8,257.7,597.4,1.1400763358778625,0.18854961832061068,0.29389312977099236,0.5444656488549618,505.8,0.9652671755725191,0.36363636363636365,0.27129337539432175
premium fish sandwich burger king,572,27.4,4.3,5.7,13.8,58.7,7.8,22.6,2.0,68.2,1.3,106.6,0.0,0.4,0.0,0.0,0.4,4.6,0.4,0.054,0.4,0.0,0.0,0.014,81.4,0.2,3.3,55.0,0.6,255.2,453.2,0.08,1.1,195.8,615.3,1.0756993006993005,0.15804195804195806,0.4104895104895105,0.43111888111888114,508.2,0.8884615384615384,0.25641025641025644,0.15693430656934307
whopper burger king,790,48.4,18.3,16.0,12.0,52.8,13.0,35.4,3.2,113.8,1.4,173.5,0.0,0.7,0.2,0.0,0.6,8.1,0.6,0.2,0.6,0.0,0.3,0.008,259.1,0.2,6.3,56.9,0.6,357.1,534.0,0.032,5.1,405.8,728.6,0.9222784810126583,0.17924050632911392,0.2673417721518987,0.5513924050632911,590.9,0.7479746835443037,0.24615384615384617,0.378099173553719
original chicken sandwich burger king,569,29.2,5.4,7.4,14.4,52.2,6.0,24.2,4.8,61.7,1.3,89.0,0.0,0.6,0.075,0.0,0.3,9.4,0.9,0.3,0.4,0.0,0.0,0.019,91.5,0.2,3.6,45.8,0.8,254.7,390.0,0.037,1.2,205.9,544.2,0.956414762741652,0.17012302284710018,0.3669595782073814,0.4618629173989455,435.8,0.7659050966608084,0.7999999999999999,0.18493150684931509
double whopper burger king,942,58.6,21.6,22.9,11.3,51.4,13.2,52.1,5.2,172.0,1.1,206.8,0.0,0.7,0.2,0.0,0.7,12.1,0.7,0.4,0.7,0.0,0.0,0.023,130.9,0.4,10.5,67.3,0.7,415.1,718.1,0.082,11.2,309.4,949.9000000000001,1.0083864118895967,0.22123142250530786,0.21825902335456476,0.5598726114649681,785.4,0.8337579617834394,0.393939393939394,0.36860068259385664
premium crispy chicken club sandwich mcdonalds,635,29.9,8.5,10.7,9.0,57.4,12.7,39.1,3.0,96.5,1.2,122.0,0.0,0.4,0.0,0.0,0.4,12.1,2.3,0.0,9.7,0.0,0.0,0.0,233.7,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,376.2,127.7,0.2011023622047244,0.24629921259842522,0.36157480314960627,0.42377952755905507,0.0,0.0,0.2362204724409449,0.28428093645484953
fish sandwich,565,27.4,4.3,5.7,13.8,58.7,7.8,22.6,0.0,77.0,1.3,106.6,0.2,0.0,0.5,0.0,0.0,0.3,4.7,0.8,0.2,4.0,0.0,0.0,0.0,81.4,0.2,3.3,55.0,0.6,255.2,453.2,0.1,109.3,367.6,0.6506194690265487,0.16,0.4155752212389381,0.4364601769911504,262.5,0.4646017699115044,0.0,0.15693430656934307
vanilla frosting,1931,75.0,13.7,22.5,36.7,313.7,291.5,0.0,0.0,0.0,0.9,69.6,0.0,0.046,0.026,0.0,1.4,1.0,0.3,0.0,0.0,0.0,7.1,0.032,13.9,0.0,0.7,4.6,0.0,83.2,157.1,0.029,0.3,403.3,548.3,0.28394614189539097,0.0,0.6498187467633351,0.34955981356809945,161.7,0.08373899533920248,0.0,0.18266666666666664
almond paste,1040,63.0,6.0,40.9,13.2,108.5,82.3,20.4,10.9,0.0,0.051,32.0,0.0,0.2,0.2,0.0,0.9,3.2,0.3,0.051,0.2,0.0,30.7,0.0,390.4,1.0,3.6,295.1,1.9,585.7,712.8,0.037,3.4,597.0,1207.8,1.1613461538461538,0.07846153846153846,0.4173076923076923,0.5451923076923076,1007.9,0.9691346153846153,0.13244228432563793,0.09523809523809523
vanilla wafer pie crust,935,63.7,13.1,27.5,18.8,88.4,12.9,6.5,0.2,68.6,0.9,15.0,0.4,0.3,0.071,0.081,0.4,3.7,0.5,0.082,0.2,0.059,5.4,0.028,73.9,0.1,2.9,17.6,0.3,137.3,139.0,0.009,0.4,236.2,311.159,0.3327903743315508,0.027807486631016044,0.37818181818181823,0.6131550802139039,156.659,0.16754973262032086,0.015503875968992248,0.20565149136577707
